# OpenTelemetry Metrics report: .csv, 4 fields: 
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775855931859000000,1775855991879000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775855931859000000,1775855991879000000,0
jps.library.entities.serializer.save.entities.ms,1775855931859000000,1775855991879000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775855931859000000,1775855991879000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1775855931859000000,1775855991879000000,0
workspaceModel.do.save.caches.ms,1775855931859000000,1775855991879000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775855931859000000,1775855991879000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775855931859000000,1775855991879000000,0
jps.library.entities.serializer.load.entities.ms,1775855931859000000,1775855991879000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1775855931859000000,1775855991879000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775855931859000000,1775855991879000000,2
workspaceModel.sync.entities.ms,1775855931859000000,1775855991879000000,0
jps.global.get.library.by.name.ms,1775855931859000000,1775855991879000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775855931859000000,1775855991879000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775855931859000000,1775855991879000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775855931859000000,1775855991879000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775855931859000000,1775855991879000000,0
jps.save.global.entities.ms,1775855931859000000,1775855991879000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775855931859000000,1775855991879000000,0
Indexes.entries.lookupDuration90PMs,1775855991879000000,1775855999509000000,0.0
Indexing.writesQueuedAvg,1775855991879000000,1775855999509000000,0.0
Indexes.entries.lookupDurationMaxMs,1775855991879000000,1775855999509000000,0.0
Indexing.cache.totalCacheMisses,1775855991879000000,1775855999509000000,0
Indexes.stubs.lookups,1775855991879000000,1775855999509000000,0
Indexes.entries.lookupDurationAvgMs,1775855991879000000,1775855999509000000,0.0
Indexing.totalTimeIndexersSleptMs,1775855991879000000,1775855999509000000,0
Indexing.writesQueuedMax,1775855991879000000,1775855999509000000,0
Indexes.allKeys.lookups,1775855991879000000,1775855999509000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1775855991879000000,1775855999509000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1775855991879000000,1775855999509000000,0
Indexes.allKeys.lookupDurationMaxMs,1775855991879000000,1775855999509000000,0.0
Indexes.stubs.lookupDuration90PMs,1775855991879000000,1775855999509000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1775855991879000000,1775855999509000000,0.0
Indexing.cache.totalCacheAccesses,1775855991879000000,1775855999509000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1775855991879000000,1775855999509000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1775855991879000000,1775855999509000000,0
Indexes.stubs.lookupDurationMaxMs,1775855991879000000,1775855999509000000,0.0
Indexing.writesQueuedMin,1775855991879000000,1775855999509000000,0
Indexes.entries.lookups,1775855991879000000,1775855999509000000,0
Indexes.allKeys.lookupDuration90PMs,1775855991879000000,1775855999509000000,0.0
Indexes.stubs.lookupDurationAvgMs,1775855991879000000,1775855999509000000,0.0
Indexing.cache.totalCacheEvicted,1775855991879000000,1775855999509000000,0
NonBlockingReadAction.failedExecutionsCount,1775855991879000000,1775855999509000000,0
AWTEventQueue.dispatchTimeTotalNS,1775855991879000000,1775855999509000000,634463200
NonBlockingReadAction.finalizedExecutionTimeUs,1775855991879000000,1775855999509000000,59
NonBlockingReadAction.failedExecutionTimeUs,1775855991879000000,1775855999509000000,0
NonBlockingReadAction.finalizedExecutionsCount,1775855991879000000,1775855999509000000,1
workspaceModel.loading.total.ms,1775855991879000000,1775855999509000000,0
workspaceModel.full.replace.project.model.ms,1775855991879000000,1775855999509000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1775855991879000000,1775855999509000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1775855991879000000,1775855999509000000,0
workspaceModel.cachedValue.calculated.count,1775855991879000000,1775855999509000000,0
workspaceModel.check.recursive.update.ms,1775855991879000000,1775855999509000000,0
workspaceModel.cachedValue.from.cache.count,1775855991879000000,1775855999509000000,1
workspaceModel.replace.project.model.ms,1775855991879000000,1775855999509000000,0
workspaceModel.cachedValue.clear.count,1775855991879000000,1775855999509000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1775855991879000000,1775855999509000000,0
workspaceModel.loading.from.cache.ms,1775855991879000000,1775855999509000000,0
workspaceModel.initializing.ms,1775855991879000000,1775855999509000000,0
workspaceModel.init.bridges.ms,1775855991879000000,1775855999509000000,0
workspaceModel.cachedValueWithParameters.clear.count,1775855991879000000,1775855999509000000,0
workspaceModel.cachedValue.total.get.count,1775855991879000000,1775855999509000000,1
workspaceModel.pre.handlers.ms,1775855991879000000,1775855999509000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1775855991879000000,1775855999509000000,0
workspaceModel.on.changed.ms,1775855991879000000,1775855999509000000,0
workspaceModel.collect.changes.ms,1775855991879000000,1775855999509000000,0
workspaceModel.update.unloaded.entities.ms,1775855991879000000,1775855999509000000,0
workspaceModel.updates.precise.ms,1775855991879000000,1775855999509000000,0
workspaceModel.updates.count,1775855991879000000,1775855999509000000,0
workspaceModel.on.before.changed.ms,1775855991879000000,1775855999509000000,0
workspaceModel.updates.ms,1775855991879000000,1775855999509000000,0
workspaceModel.to.snapshot.ms,1775855991879000000,1775855999509000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1775855991879000000,1775855999509000000,0
DirectByteBufferAllocator.reclaimed,1775855991879000000,1775855999509000000,40
FilePageCacheLockFree.totalPagesWritten,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalPagesAllocated,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.heapBytesInUse,1775855991879000000,1775855999509000000,0
StorageLockContext.competingThreads.max,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1775855991879000000,1775855999509000000,0
FilePageCache.totalPageDisposalsUs,1775855991879000000,1775855999509000000,0
FilePageCache.maxRegisteredFiles,1775855991879000000,1775855999509000000,471
DirectByteBufferAllocator.hits,1775855991879000000,1775855999509000000,0
FilePageCache.maxCacheSizeInBytes,1775855991879000000,1775855999509000000,180355072
FilePageCache.totalPageLoadsUs,1775855991879000000,1775855999509000000,0
FilePageCache.uncachedFileAccess,1775855991879000000,1775855999509000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775855991879000000,1775855999509000000,41943040
FilePageCacheLockFree.totalPagesReclaimed,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalPagesHandedOver,1775855991879000000,1775855999509000000,0
FilePageCache.pageLoads,1775855991879000000,1775855999509000000,0
StorageLockContext.competingThreads.90P,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.nativeBytesInUse,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1775855991879000000,1775855999509000000,0
FilePageCache.disposedBuffers,1775855991879000000,1775855999509000000,172
FilePageCacheLockFree.totalPagesReadMs,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalBytesRead,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1775855991879000000,1775855999509000000,0
StorageLockContext.competingThreads.avg,1775855991879000000,1775855999509000000,0.0
DirectByteBufferAllocator.misses,1775855991879000000,1775855999509000000,0
FilePageCache.capacityInBytes,1775855991879000000,1775855999509000000,503316478
FileChannelInterruptsRetryer.totalRetriedAttempts,1775855991879000000,1775855999509000000,0
FilePageCache.pageHits,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalBytesRequested,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalPagesRequested,1775855991879000000,1775855999509000000,0
DirectByteBufferAllocator.disposed,1775855991879000000,1775855999509000000,132
FilePageCacheLockFree.totalHeapBytesAllocated,1775855991879000000,1775855999509000000,0
FilePageCache.pageFastCacheHits,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalPagesWriteMs,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1775855991879000000,1775855999509000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775855991879000000,1775855999509000000,41943040
FilePageCacheLockFree.housekeeperTurnsDone,1775855991879000000,1775855999509000000,0
FilePageCacheLockFree.totalBytesWritten,1775855991879000000,1775855999509000000,0
VFS.fileChildByName,1775855991879000000,1775855999509000000,64
VFS.fileByIdCache.hits,1775855991879000000,1775855999509000000,0
VFS.fileByIdCache.misses,1775855991879000000,1775855999509000000,0
VFS.invertedFileNameIndex.requests,1775855991879000000,1775855999509000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1775855991879000000,1775855999509000000,2514
writeAction.median.wait.ms,1775855991879000000,1775855999509000000,0
writeAction.count,1775855991879000000,1775855999509000000,32
DiskQueryRelay.tasksExecuted,1775855991879000000,1775855999509000000,23
DiskQueryRelay.taskExecutionTotalTimeUs,1775855991879000000,1775855999509000000,2296
writeAction.max.wait.ms,1775855991879000000,1775855999509000000,38
writeAction.wait.ms,1775855991879000000,1775855999509000000,40
DiskQueryRelay.tasksRequested,1775855991879000000,1775855999509000000,23
cacheStateStorage.get.counter,1775855991879000000,1775855999509000000,1
cacheStateStorage.get.duration,1775855991879000000,1775855999509000000,0
cacheStateStorage.set.duration,1775855991879000000,1775855999509000000,11
cacheStateStorage.set.counter,1775855991879000000,1775855999509000000,3
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775855991879000000,1775855999509000000,0
jps.load.initial.state.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775855991879000000,1775855999509000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775855991879000000,1775855999509000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775855991879000000,1775855999509000000,0
jps.global.handle.changed.events.ms,1775855991879000000,1775855999509000000,0
jps.app.storage.content.reader.load.component.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775855991879000000,1775855999509000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775855991879000000,1775855999509000000,0
jps.global.get.library.by.name.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775855991879000000,1775855999509000000,0
jps.save.global.entities.ms,1775855991879000000,1775855999509000000,6
workspaceModel.mutableEntityStorage.add.entity.ms,1775855991879000000,1775855999509000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775855991879000000,1775855999509000000,0
jps.global.get.library.ms,1775855991879000000,1775855999509000000,0
workspaceModel.load.cache.from.file.ms,1775855991879000000,1775855999509000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775855991879000000,1775855999509000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1775855991879000000,1775855999509000000,0
workspaceModel.global.apply.state.to.project.ms,1775855991879000000,1775855999509000000,0
workspaceModel.global.updates.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775855991879000000,1775855999509000000,0
jps.global.initialize.library.bridges.after.loading.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.instances.count,1775855991879000000,1775855999509000000,0
jps.global.get.libraries.ms,1775855991879000000,1775855999509000000,0
jps.global.initialize.library.bridges.ms,1775855991879000000,1775855999509000000,0
workspaceModel.save.cache.to.file.ms,1775855991879000000,1775855999509000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775855991879000000,1775855999509000000,0
jps.global.handle.before.change.events.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775855991879000000,1775855999509000000,0
workspaceModel.global.updates.count,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1775855991879000000,1775855999509000000,0
jps.app.storage.content.writer.save.component.ms,1775855991879000000,1775855999509000000,2
jps.library.entities.serializer.save.entities.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775855991879000000,1775855999509000000,0
workspaceModel.do.save.caches.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775855991879000000,1775855999509000000,0
jps.library.entities.serializer.load.entities.ms,1775855991879000000,1775855999509000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775855991879000000,1775855999509000000,0
workspaceModel.sync.entities.ms,1775855991879000000,1775855999509000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775855991879000000,1775855999509000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775855991879000000,1775855999509000000,0
